line,movie,character,dialogue
0,The Return of the King,DEAGOL,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!"
1,The Return of the King,SMEAGOL,"Pull it in! Go on, go on, go on, pull it in!"
2,The Return of the King,DEAGOL,Arrghh!
3,The Return of the King,SMEAGOL,Deagol!
4,The Return of the King,SMEAGOL,Deagol!
5,The Return of the King,SMEAGOL,Deagol!
6,The Return of the King,SMEAGOL,Give us that! Deagol my love
7,The Return of the King,DEAGOL,Why?
8,The Return of the King,SMEAGOL,"Because' , it's my birthday and I wants it."
9,The Return of the King,SMEAGOL,My precious.
10,The Return of the King,SMEAGOL,They cursed us
11,The Return of the King,(GOLLUM,Murderer)
12,The Return of the King,SMEAGOL,'Murderer' they called us. They cursed us and drove us away.
13,The Return of the King,SMEAGOL,"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone."
14,The Return of the King,SMEAGOL,"and cool, so nice for feet' and we only wish to catch a fish    , so juicy sweet."
15,The Return of the King,SMEAGOL,"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name."
16,The Return of the King,FRODO,Gandalf?
17,The Return of the King,FRODO,Oooohhh!
18,The Return of the King,MERRY,Frodo!
19,The Return of the King,GIMLI,Aaaahh!
20,The Return of the King,FRODO,Gimli!
21,The Return of the King,GOLLUM,My precious!
22,The Return of the King,GOLLUM,"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once."
23,The Return of the King,SAM,Haven't you had any sleep Mr Frodo?
24,The Return of the King,SAM,"And I've gone and had too much. , It must be getting late."
25,The Return of the King,FRODO,"No, it isn't. It isn't midday yet. , The days are growing darker."
26,The Return of the King,GOLLUM,Come on! Must go! No time!
27,The Return of the King,SAM,Not before Mr Frodo's had something to eat.
28,The Return of the King,GOLLUM,No time to lose silly!
29,The Return of the King,SAM,Here.
30,The Return of the King,FRODO,What about you?
31,The Return of the King,SAM,"Oh no, I'm not hungry, leastways not for lembas bread."
32,The Return of the King,FRODO,Sam!
33,The Return of the King,FRODO,Aragorn!
34,The Return of the King,GANDALF,Now come the days of the King. May they be blessed.
35,The Return of the King,ARAGORN,"This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace."
36,The Return of the King,ARAGORN,Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!
37,The Return of the King,ARAGORN,Hannon le.
38,The Return of the King,ARAGORN,"My friends, , you bow to     no-one."
39,The Return of the King,FRODO,",And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight."
40,The Return of the King,FRODO,We were home.
41,The Return of the King,PIPPIN,Alright!
42,The Return of the King,HOBBIT,Hey watch the pumpkin.
43,The Return of the King,ROSIE,Goodnight lads.
44,The Return of the King,SAM,"Oh alright, but we don't have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. I've rationed     it, there should be enough."
45,The Return of the King,FRODO,For what?
46,The Return of the King,SAM,The journey home.
47,The Return of the King,GOLLUM,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry."
48,The Return of the King,MERRY,"It's good. Definitely from the Shire. ,Longbottom leaf eh?"
49,The Return of the King,PIPPIN,"uhh huh , I feel like I'm back at the Green Dragon."
50,The Return of the King,MERRY,"Mmmm , Green Dragon!"
51,The Return of the King,PIPPIN,A mug of ale in my hand. Putting my feet up on a settle after a hard     day's work.
52,The Return of the King,MERRY,"Only, , you've never done a hard day's work."
53,The Return of the King,PIPPIN,Ahaha!
54,The Return of the King,MERRY,"Welcome, my lords to Isengard!"
55,The Return of the King,GIMLI,You young rascals. A merry hunt you've led us on and now we find you     feasting and ' and smoking!
56,The Return of the King,PIPPIN,Hmm?
57,The Return of the King,FRODO,"How do you pick up the threads of an old life? How do you go on, when in     your heart you begin to understand there is no going back? There are some     things that time cannot mend. Some hurts that go too deep, that have taken     hold."
58,The Return of the King,SAM,Mr Frodo? What is it?
59,The Return of the King,FRODO,It's been four years to the day since Weathertop Sam. It's never really     healed.
60,The Return of the King,SAM,", There and Back Again, a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished     it."
61,The Return of the King,FRODO,Not quite. There's room for a little more.
62,The Return of the King,FRODO,"Bilbo once told me his part in this tale would end. That each of us must     come and go in the telling. Bilbo's story was now over. There would be no     more journeys for him. , save one."
63,The Return of the King,BILBO,"Tell me again lad, where are we going?"
64,The Return of the King,FRODO,To the harbour Bilbo. The elves have accorded you a special honour. A place     on the last ship to leave Middle Earth.
65,The Return of the King,BILBO,"Frodo, any chance of seeing that old Ring of mine again? The one I gave you?"
66,The Return of the King,PIPPIN,"We are sitting on a field of     victory enjoying a few well earned comforts , The salted pork is particularly good."
67,The Return of the King,GIMLI,Salted pork'
68,The Return of the King,GANDALF,Hobbits!
69,The Return of the King,MERRY,We're under orders from Treebeard who's taken over management of Isengard.
70,The Return of the King,TREEBEARD,"Hoooom, young master Gandalf, I'm glad you've come. Wood and water,     stock and stone I can master, but there is a Wizard to manage here locked in     his tower"
71,The Return of the King,ARAGORN,", Show yourself."
72,The Return of the King,GANDALF,"Be careful. Even in defeat, Saruman is dangerous."
73,The Return of the King,GIMLI,Well then let's just have his head and be done with it.
74,The Return of the King,GANDALF,"No, we need him alive. We need him to talk."
75,The Return of the King,SARUMAN,"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I?"
76,The Return of the King,THEODEN,We shall have peace'. We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!
77,The Return of the King,SARUMAN,Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!
78,The Return of the King,GANDALF,Your treachery has already cost many lives. Thousands more are now at     risk. But you could save them Saruman. You were deep in the enemy's counsel.
79,The Return of the King,FRODO,I'm sorry uncle. I'm afraid I lost it.
80,The Return of the King,BILBO,"Oh, pity. (He sighs.) I would have like to have held it one last time."
81,The Return of the King,BILBO,Oh! Well here is a sight I have never seen before.
82,The Return of the King,GALADRIL,The power of the three rings is ended. The time has come for the dominion of     men.
83,The Return of the King,ELROND,I Aear c'n ven na mar.
84,The Return of the King,BILBO,I think I'm quite ready for another adventure.
85,The Return of the King,GANDALF,"Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo."
86,The Return of the King,SAM,What does he mean?
87,The Return of the King,FRODO,"We set out to save the Shire Sam and it has been saved, but not for me."
88,The Return of the King,SAM,", You don't mean that. You can't     leave."
89,The Return of the King,FRODO,The last pages are for you Sam.
90,The Return of the King,SARUMAN,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death."
91,The Return of the King,GIMLI,I've heard enough! Shoot him! Stick an arrow in his gob!
92,The Return of the King,GANDALF,No! Come down Saruman and your life will be spared!
93,The Return of the King,SARUMAN,Save your pity and your mercy. I have no use for it!
94,The Return of the King,GANDALF,Saruman'.. your staff is broken!
95,The Return of the King,THEODEN,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.
96,The Return of the King,SARUMAN,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!
97,The Return of the King,THEODEN,Grima'. Come down! Be free of him!
98,The Return of the King,SARUMAN,Free? He will never be free!
99,The Return of the King,GRIMA,No!
100,The Return of the King,FRODO VOICE OVER,"My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on."
101,The Return of the King,SAM,"Well, I'm back."
102,The Return of the King,PIPPIN,I didn't think it would end this way.
103,The Return of the King,GANDALF,"End?  No, the journey doesn't end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it."
104,The Return of the King,PIPPIN,What?  Gandalf?  See what?
105,The Return of the King,GANDALF,"White shores and beyond,  a far green country under a swift sunrise."
106,The Return of the King,PIPPIN,"Well, , that's not  so bad."
107,The Return of the King,GANDALF,No.  No it isn't.
108,The Return of the King,THEODEN,Rally to me!  To meeee!
109,The Return of the King,WITCH KING,Feast on his flesh.
110,The Return of the King,EOWYN,I will kill you if you touch him.
111,The Return of the King,EOWYN,The City has fallen silent.  There is no warmth left in the sun.
112,The Return of the King,EOWYN,It grows so cold.
113,The Return of the King,FARAMIR,It's just the damp of the first spring rain.
114,The Return of the King,FARAMIR,I do not believe this darkness will endure.
115,The Return of the King,SAM,"Look!  The Orcs, they're moving off!"
116,The Return of the King,SARUMAN,Get down cur!
117,The Return of the King,GRIMA,Ah!
118,The Return of the King,GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!
119,The Return of the King,SARUMAN,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!
120,The Return of the King,GANDALF,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.
121,The Return of the King,TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees."
122,The Return of the King,ARAGORN,Pippin!
123,The Return of the King,TREEBEARD,Bless my bark!
124,The Return of the King,GANDALF,Peregrin Took. I'll take that my lad! Quickly now!
125,The Return of the King,WITCH KING,Do not come between the Nazg'l and his prey.
126,The Return of the King,ORC,"Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships."
127,The Return of the King,GIMLI,"There's plenty for the both of us, may be best Dwarf win!"
128,The Return of the King,WITCH KING,You fool!  No man can kill me.  Die now!
129,The Return of the King,EOWYN,I am no man!
130,The Return of the King,SAM,You see Mr Frodo some luck at last!
131,The Return of the King,ORC,"Move it, you slugs!"
132,The Return of the King,ORC,Come on!  Faster!
133,The Return of the King,ORC,"Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!"
134,The Return of the King,ORC,"To the gate you slugs, now move it! ,  Don't you know we're at war?"
135,The Return of the King,ORC,Company halt!  Inspection!
136,The Return of the King,FRODO,Sam!  Help me!
137,The Return of the King,SAM,Mr Frodo!
138,The Return of the King,SAM,Stand up Mr Frodo.  Stand up!
139,The Return of the King,FRODO,It's so heavy!
140,The Return of the King,SAM,"Oh no!  What do I do? ,  What do I do?"
141,The Return of the King,FRODO,Hit me!  Hit me Sam!  Start fighting!
142,The Return of the King,SAM,"Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!"
143,The Return of the King, GANDALF,Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.
144,The Return of the King,SOLDIERS ON GATE,"Come on, come on!"
145,The Return of the King,GOTHMOG,Move into the city. Kill all in your path.
146,The Return of the King,ORC,Break it up!  Break it up!
147,The Return of the King,GENERAL,Oy!  I'll have your guts if you don't shut this rabble down!
148,The Return of the King,FRODO,Go Sam.  Now!
149,The Return of the King,GENERAL,Move along scum!
150,The Return of the King,CAPTAIN,Get back in the line you maggots!  Get back in the line you slugs!
151,The Return of the King,FRODO,I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.
152,The Return of the King,SOLDIER,Take them down!
153,The Return of the King,GANDALF,Fight! Fight to the last man. Fight for your lives.
154,The Return of the King,PIPPIN,"Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!"
155,The Return of the King,GANDALF,Up! Quickly!
156,The Return of the King,GANDALF,",     Go back to the abyss! Fall into the nothingness that awaits you and your     master!"
157,The Return of the King,WITCH KING,"Do you not know death when you see it, old man? , This is my hour!"
158,The Return of the King,PIPPIN,Gandalf!
159,The Return of the King,PIPPIN,"AAAAhhh! ,"
160,The Return of the King,WITCH KING,You have failed! The world of men will fall.
161,The Return of the King,SAM,",  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need."
162,The Return of the King,SAM,"Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch."
163,The Return of the King,SAM,"Take mine. ,  There's a few drops left."
164,The Return of the King,FRODO,There will be none left for the return journey.
165,The Return of the King,SAM,I don't think there will be a return journey Mr Frodo.
166,The Return of the King,SAM,"Frodo, get down! ,  Hide!"
167,The Return of the King,SAM,Frodo!
168,The Return of the King,PIPPIN,Where are they?
169,The Return of the King,ARAGORN,"Let the Lord of the Black Land come forth! ,  Let justice be done upon him!"
170,The Return of the King,MOUTH OF SAURON,My master Sauron the Great bids thee welcome.
